Postcode,Huisnummer,Bouwjaar,Gebouwtype,Energieklasse,warmte_predicted,warmte_final,gas_sjv_m3,gas_per_m2,priority,PC4
1628PE,247,1995,Appartement,A,51.65699265324794,50.91,,,Low,1628
1628PE,246,1995,Appartement,A,51.33898317273956,50.29,,,Low,1628
1628PE,245,1995,Appartement,A,51.33898317273956,49.35,,,Low,1628
1628PE,244,1995,Appartement,A,51.33898317273956,49.26,,,Low,1628
1628PE,243,1995,Appartement,A,51.33898317273956,49.35,,,Low,1628
1628PE,242,1995,Appartement,A,51.33898317273956,49.26,,,Low,1628
1628PE,241,1995,Appartement,A,51.33898317273956,49.5,,,Low,1628
1628PE,240,1995,Appartement,A,51.33898317273956,50.55,,,Low,1628
1628PE,24,1995,Appartement,A,67.2011960986554,57.88,,,Low,1628
1628PE,239,1995,Appartement,A,51.33898317273956,49.91,,,Low,1628
1628PE,238,1995,Appartement,A,52.50147824275907,50.4,,,Low,1628
1628PE,237,1995,Appartement,A,62.515254680377616,62.82,,,Low,1628
1628PE,236,1995,Appartement,A,57.85865331183973,66.44,,,Low,1628
1628PE,235,1995,Appartement,A,54.72560503033061,51.88,,,Low,1628
1628PE,234,1995,Appartement,A,52.704712071564096,52.53,,,Low,1628
1628PE,233,1995,Appartement,A,54.72560503033061,51.88,,,Low,1628
1628PE,232,1995,Appartement,A,54.37696496513969,54.24,,,Low,1628
1628PE,231,1995,Appartement,A,58.12623785829242,53.82,,,Low,1628
1628PE,230,1995,Appartement,A,69.25942787287487,68.46,,,Low,1628
1628PE,23,1995,Appartement,A,67.2011960986554,57.95,,,Low,1628
1628PE,229,1995,Appartement,A,63.93066513267854,60.62,,,Low,1628
1628PE,228,1995,Appartement,A,53.82384841485717,45.76,,,Low,1628
1628PE,227,1995,Appartement,A,53.82384841485717,45.68,,,Low,1628
1628PE,226,1995,Appartement,A,53.82384841485717,45.76,,,Low,1628
1628PE,225,1995,Appartement,A,64.04415593592896,59.01,,,Low,1628
1628PE,224,1995,Appartement,A,70.74926976961518,63.69,,,Low,1628
1628PE,223,1995,Appartement,A,52.06346506085023,52.83,,,Low,1628
1628PE,222,1995,Appartement,A,52.06346506085023,53.09,,,Low,1628
1628PE,221,1995,Appartement,A,52.06346506085023,52.83,,,Low,1628
1628PE,220,1995,Appartement,A,52.06346506085023,53.09,,,Low,1628
1628PE,22,1995,Appartement,A,84.37795572420434,75.14,,,Low,1628
1628PE,219,1995,Appartement,A,52.06346506085023,52.83,,,Low,1628
1628PE,218,1995,Appartement,A,52.06346506085023,53.09,,,Low,1628
1628PE,217,1995,Appartement,A,76.69466523188461,66.52,,,Low,1628
1628PE,216,1995,Appartement,A,73.58822345826269,62.5,,,Low,1628
1628PE,215,1995,Appartement,A,50.29211205525658,47.92,,,Low,1628
1628PE,214,1995,Appartement,A,50.83423076811582,48.51,,,Low,1628
1628PE,213,1995,Appartement,A,50.29211205525658,47.92,,,Low,1628
1628PE,212,1995,Appartement,A,50.83423076811582,48.51,,,Low,1628
1628PE,211,1995,Appartement,A,50.29211205525658,47.92,,,Low,1628
1628PE,210,1995,Appartement,A,50.83423076811582,48.51,,,Low,1628
1628PE,21,1995,Appartement,B,88.03238500480344,83.24,,,Low,1628
1628PE,209,1995,Appartement,A,50.29211205525658,48.07,,,Low,1628
1628PE,208,1995,Appartement,A,50.83423076811582,48.66,,,Low,1628
1628PE,207,1995,Appartement,A,50.29211205525658,47.92,,,Low,1628
1628PE,206,1995,Appartement,A,50.83423076811582,48.51,,,Low,1628
1628PE,205,1995,Appartement,A,50.29211205525658,47.92,,,Low,1628
1628PE,204,1995,Appartement,A,50.83423076811582,48.51,,,Low,1628
1628PE,203,1995,Appartement,A,50.29211205525658,47.92,,,Low,1628
1628PE,202,1995,Appartement,A,50.83423076811582,48.51,,,Low,1628
1628PE,201,1995,Appartement,A,74.47045416031276,60.89,,,Low,1628
1628PE,20,1995,Appartement,A,68.8696130627557,65.7,,,Low,1628
1628PE,2,1995,Appartement,A,64.75017099026887,60.47,,,Low,1628
1628PE,19,1995,Appartement,A,63.685940853563295,66.07,,,Low,1628
1628PE,148,1995,Appartement,A,64.00430043133909,63.29,,,Low,1628
1628PE,147,1995,Appartement,A,51.65699265324794,50.91,,,Low,1628
1628PE,146,1995,Appartement,A,51.33898317273956,50.29,,,Low,1628
1628PE,145,1995,Appartement,A,51.33898317273956,49.35,,,Low,1628
1628PE,144,1995,Appartement,A,51.33898317273956,49.26,,,Low,1628
1628PE,143,1995,Appartement,A,51.33898317273956,49.35,,,Low,1628
1628PE,142,1995,Appartement,A,51.33898317273956,49.26,,,Low,1628
1628PE,141,1995,Appartement,A,51.33898317273956,49.5,,,Low,1628
1628PE,140,1995,Appartement,A,51.33898317273956,50.55,,,Low,1628
1628PE,139,1995,Appartement,A,54.72560503033061,51.97,,,Low,1628
1628PE,138,1995,Appartement,A,51.33898317273956,50.4,,,Low,1628
1628PE,137,1995,Appartement,A,62.515254680377616,62.74,,,Low,1628
1628PE,136,1995,Appartement,A,64.95049757272129,66.09,,,Low,1628
1628PE,135,1995,Appartement,A,54.72560503033061,51.88,,,Low,1628
1628PE,134,1995,Appartement,A,57.26214639763164,52.53,,,Low,1628
1628PE,133,1995,Appartement,A,54.72560503033061,51.88,,,Low,1628
1628PE,132,1995,Appartement,A,58.12623785829242,54.24,,,Low,1628
1628PE,131,1995,Appartement,A,54.37696496513969,53.82,,,Low,1628
1628PE,130,1995,Appartement,B,109.91374979731856,102.83,,,Low,1628
1628PE,129,1995,Appartement,A,63.93066513267854,60.62,,,Low,1628
1628PE,128,1995,Appartement,A,53.82384841485717,45.76,,,Low,1628
1628PE,127,1995,Appartement,A,53.82384841485717,45.68,,,Low,1628
1628PE,126,1995,Appartement,A,53.82384841485717,45.76,,,Low,1628
1628PE,125,1995,Appartement,A,64.04415593592896,59.01,,,Low,1628
1628PE,124,1995,Appartement,B,97.00561132827272,100.62,,,Low,1628
1628PE,123,1995,Appartement,B,93.65627647007385,88.11,,,Low,1628
1628PE,122,1995,Appartement,A,53.31615001740273,53.09,,,Low,1628
1628PE,121,1995,Appartement,A,53.31615001740273,52.83,,,Low,1628
1628PE,120,1995,Appartement,A,52.06346506085023,53.09,,,Low,1628
1628PE,119,1995,Appartement,A,52.06346506085023,52.83,,,Low,1628
1628PE,118,1995,Appartement,A,53.31615001740273,53.09,,,Low,1628
1628PE,117,1995,Appartement,A,81.6777847620728,72.79,,,Low,1628
1628PE,116,1995,Appartement,A,73.67296556275873,68.35,,,Low,1628
1628PE,115,1995,Appartement,A,51.59735994122944,47.92,,,Low,1628
1628PE,114,1995,Appartement,A,50.83423076811582,48.51,,,Low,1628
1628PE,113,1995,Appartement,A,50.29211205525658,47.92,,,Low,1628
1628PE,112,1995,Appartement,A,50.83423076811582,48.51,,,Low,1628
